"0","1","2","id","transect","block","site_status"
2,1.90157344339511,1.8194696858421,"GS195",4,2,"Native"
2,1.41571789480687,1.24476771010542,"GS197",4,2,"Native"
2,1.36854225279582,1.20743677898855,"GS215",4,3,"Native"
6,4.27868770697368,3.17613532372778,"GS216",4,3,"Native"
1,1,1,"GS218",4,3,"Native"
2,1.66991562922305,1.49424180210397,"GS221",4,3,"Native"
2,1.96063619991487,1.92401635720029,"GS222",4,3,"Native"
1,1,1,"GS224",4,3,"Native"
2,1.97586590887986,1.95277703502217,"GS225",4,3,"Native"
1,1,1,"GS253",5,2,"Native"
3,2.43792656370814,2.07898055040686,"GS254",5,2,"Native"
1,1,1,"GS255",5,2,"Native"
2,1.9912319720022,1.98260378794387,"GS256",5,2,"Native"
3,2.65315842195697,2.40702905600422,"GS257",5,2,"Native"
3,2.49371502681957,2.15509319291927,"GS267",5,3,"Native"
6,5.26409284878215,4.64208820673523,"GS268",5,3,"Native"
6,5.32524535266223,4.77643838844299,"GS284",6,1,"Ginger"
1,1,1,"GS285",6,1,"Ginger"
5,4.08409529734384,3.56625680293311,"GS286",6,1,"Ginger"
5,4.5114887474534,4.18821169377692,"GS287",6,1,"Ginger"
5,4.0084111310411,3.44263876907283,"GS288",6,1,"Ginger"
5,4.57044306708762,4.21996232589676,"GS289",6,1,"Ginger"
2,1.5249066826227,1.3411549954537,"GS296",6,2,"Ginger"
3,2.84515625457945,2.73428400273738,"GS297",6,2,"Ginger"
2,1.60226955002981,1.41888913897597,"GS298",6,2,"Ginger"
1,1,1,"GS299",6,2,"Ginger"
3,2.92812409322627,2.85671755339153,"GS305",6,3,"Ginger"
4,3.35978037448992,3.0051408956404,"GS314",7,1,"Ginger"
2,1.58059773686863,1.39625246415597,"GS315",7,1,"Ginger"
1,1,1,"GS316",7,1,"Ginger"
2,1.38049128918431,1.2166604133205,"GS317",7,1,"Ginger"
2,1.96635523435338,1.93472499276686,"GS318",7,1,"Ginger"
1,1,1,"GS319",7,1,"Ginger"
1,1,1,"GS320",7,1,"Ginger"
2,1.88300041050376,1.78871883364655,"GS333",7,2,"Ginger"
4,3.64347041558636,3.40363493264789,"GS334",7,2,"Ginger"
2,1.47691555146448,1.29698966304009,"GS335",7,2,"Ginger"
1,1,1,"GS336",7,2,"Ginger"
2,1.49305435401587,1.31151494057519,"GS337",7,2,"Ginger"
3,2.4894041075631,2.14074364127858,"GS338",7,2,"Ginger"
5,4.39388694038213,3.97342782334594,"GS339",7,2,"Ginger"
2,1.99069387733712,1.9815452143972,"GS340",7,2,"Ginger"
2,1.99851650056991,1.99703703052429,"GS341",7,2,"Ginger"
4,2.95029537954157,2.3412634943614,"GS356",7,3,"Ginger"
3,2.92274302354524,2.84521120499998,"GS357",7,3,"Ginger"
5,4.32521942517374,3.97136937837621,"GS358",7,3,"Ginger"
3,2.64024803549149,2.47065860676978,"GS359",7,3,"Ginger"
3,2.88806770026014,2.7953976989243,"GS360",7,3,"Ginger"
5,3.71028004916615,2.91241360128559,"GS361",7,3,"Ginger"
2,1.45662122801137,1.27917908240164,"GS373",8,1,"Ginger"
1,1,1,"GS374",8,1,"Ginger"
2,1.64265732914824,1.46298974516962,"GS388",8,2,"Ginger"
2,1.9920200203603,1.98415595794052,"GS389",8,2,"Ginger"
1,1,1,"GS390",8,2,"Ginger"
4,3.59535946930712,3.38107928827543,"GS391",8,2,"Ginger"
3,2.49746529722156,2.171840444566,"GS392",8,2,"Ginger"
2,1.99087698258618,1.98190531421005,"GS401",8,3,"Ginger"
4,3.40322148047636,3.00169200928465,"GS402",8,3,"Ginger"
3,2.36689332009093,2.10215248796647,"GS403",8,3,"Ginger"
4,3.24715472925912,2.80965818186742,"GS404",8,3,"Ginger"
1,1,1,"GS405",8,3,"Ginger"
1,1,1,"GS410",9,1,"Ginger"
3,2.05105372631102,1.66409549940996,"GS411",9,1,"Ginger"
6,5.36008521044159,4.84180086895222,"GS412",9,1,"Ginger"
3,2.59990448646816,2.30909726436484,"GS413",9,1,"Ginger"
3,2.44902080337919,2.25751901588236,"GS422",9,2,"Ginger"
4,3.2752195260882,2.88496279470109,"GS423",9,2,"Ginger"
2,1.884120109715,1.79054566102214,"GS424",9,2,"Ginger"
1,1,1,"GS432",9,3,"Ginger"
4,3.68714167156536,3.44545753736357,"GS433",9,3,"Ginger"
6,4.65939886497186,3.89908359545889,"GS434",9,3,"Ginger"
5,4.0473920810765,3.48901108967969,"GS450",10,1,"Ginger"
3,2.88925164727334,2.79998378981499,"GS451",10,1,"Ginger"
1,1,1,"GS452",10,1,"Ginger"
3,2.29090617369634,1.90349395632442,"GS453",10,1,"Ginger"
3,2.56207722360229,2.32272137868602,"GS454",10,1,"Ginger"
3,2.95056837173441,2.90209005205414,"GS455",10,1,"Ginger"
1,1,1,"GS470",10,2,"Ginger"
1,1,1,"GS472",10,2,"Ginger"
3,2.96304426987543,2.92698718596117,"GS474",10,2,"Ginger"
2,1.8049506444613,1.66930179124452,"GS475",10,2,"Ginger"
3,2.75315288112228,2.53548630560584,"GS476",10,2,"Ginger"
8,6.98386468713425,6.15304897608239,"GS477",10,2,"Ginger"
4,3.78534641728283,3.62297761795781,"GS478",10,2,"Ginger"
1,1,1,"GS479",10,2,"Ginger"
3,2.62912486684798,2.45110978594921,"GS497",10,3,"Ginger"
1,1,1,"GS499",10,3,"Ginger"
3,2.64043278624152,2.35412553555686,"GS500",10,3,"Ginger"
1,1,1,"GS501",10,3,"Ginger"
2,1.81932344586811,1.69017644135009,"GS502",10,3,"Ginger"
2,1.55195049874738,1.36737356171428,"GS503",10,3,"Ginger"
4,3.31005236942341,2.91103655750482,"GS504",10,3,"Ginger"
5,4.29628523754262,3.77220834050236,"GS505",10,3,"Ginger"
4,3.79411946781303,3.59764056003988,"GS506",10,3,"Ginger"
